cell_id,cycle,Q_Ah,V_initial,V_final,SOH
0,1,0.34201,3.8860,3.8288,0.99960
0,2,0.34187,3.8861,3.8288,0.99920
0,3,0.34173,3.8860,3.8288,0.99880
0,4,0.34160,3.8860,3.8288,0.99840
0,5,0.34146,3.8861,3.8288,0.99800
0,6,0.34132,3.8861,3.8288,0.99760
0,7,0.34118,3.8861,3.8288,0.99720
0,8,0.34105,3.8861,3.8288,0.99680
0,9,0.34091,3.8861,3.8288,0.99640
0,10,0.34077,3.8861,3.8288,0.99600
0,11,0.34064,3.8861,3.8288,0.99560
0,12,0.34050,3.8861,3.8288,0.99520
0,13,0.34036,3.8861,3.8288,0.99480
0,14,0.34023,3.8861,3.8289,0.99440
0,15,0.34009,3.8861,3.8288,0.99400
0,16,0.33995,3.8861,3.8288,0.99360
0,17,0.33982,3.8861,3.8289,0.99320
0,18,0.33968,3.8861,3.8288,0.99280
0,19,0.33954,3.8861,3.8288,0.99240
0,20,0.33941,3.8861,3.8288,0.99200
0,21,0.33927,3.8862,3.8289,0.99160
0,22,0.33913,3.8862,3.8289,0.99120
0,23,0.33899,3.8861,3.8289,0.99080
0,24,0.33886,3.8862,3.8289,0.99040
0,25,0.33872,3.8862,3.8289,0.99000
0,26,0.33858,3.8861,3.8289,0.98960
0,27,0.33845,3.8861,3.8289,0.98920
0,28,0.33831,3.8862,3.8289,0.98880
0,29,0.33817,3.8862,3.8289,0.98840
0,30,0.33804,3.8862,3.8289,0.98800
0,31,0.33790,3.8862,3.8289,0.98760
0,32,0.33776,3.8862,3.8289,0.98720
0,33,0.33763,3.8862,3.8289,0.98680
0,34,0.33749,3.8861,3.8289,0.98640
0,35,0.33735,3.8862,3.8289,0.98600
0,36,0.33722,3.8862,3.8289,0.98560
0,37,0.33708,3.8862,3.8290,0.98520
0,38,0.33694,3.8862,3.8289,0.98480
0,39,0.33681,3.8862,3.8289,0.98440
0,40,0.33667,3.8862,3.8290,0.98400
0,41,0.33653,3.8862,3.8289,0.98360
0,42,0.33639,3.8862,3.8289,0.98320
0,43,0.33626,3.8862,3.8290,0.98280
0,44,0.33612,3.8862,3.8290,0.98240
0,45,0.33598,3.8862,3.8290,0.98200
0,46,0.33585,3.8862,3.8290,0.98160
0,47,0.33571,3.8863,3.8290,0.98120
0,48,0.33557,3.8862,3.8290,0.98080
0,49,0.33544,3.8862,3.8290,0.98040
0,50,0.33530,3.8862,3.8290,0.98000
0,51,0.33516,3.8863,3.8290,0.97960
0,52,0.33503,3.8863,3.8290,0.97920
0,53,0.33489,3.8862,3.8290,0.97880
0,54,0.33475,3.8862,3.8290,0.97840
0,55,0.33462,3.8863,3.8290,0.97800
0,56,0.33448,3.8862,3.8290,0.97760
0,57,0.33434,3.8862,3.8290,0.97720
0,58,0.33420,3.8863,3.8291,0.97680
0,59,0.33407,3.8862,3.8290,0.97640
0,60,0.33393,3.8863,3.8290,0.97600
0,61,0.33379,3.8863,3.8290,0.97560
0,62,0.33366,3.8863,3.8290,0.97520
0,63,0.33352,3.8863,3.8291,0.97480
0,64,0.33338,3.8863,3.8291,0.97440
