cell_id,cycle,Q_Ah,V_initial,V_final,SOH
0,1,0.40346,3.2750,3.2685,0.99990
0,2,0.40342,3.2750,3.2685,0.99980
0,3,0.40338,3.2750,3.2685,0.99970
0,4,0.40334,3.2750,3.2685,0.99960
0,5,0.40330,3.2750,3.2685,0.99950
0,6,0.40326,3.2751,3.2686,0.99940
0,7,0.40322,3.2750,3.2685,0.99930
0,8,0.40318,3.2751,3.2685,0.99920
0,9,0.40314,3.2751,3.2686,0.99910
0,10,0.40310,3.2751,3.2685,0.99900
0,11,0.40306,3.2750,3.2685,0.99890
0,12,0.40302,3.2750,3.2685,0.99880
0,13,0.40298,3.2750,3.2685,0.99870
0,14,0.40294,3.2751,3.2686,0.99860
0,15,0.40290,3.2750,3.2685,0.99850
0,16,0.40286,3.2750,3.2685,0.99840
0,17,0.40282,3.2751,3.2685,0.99830
0,18,0.40278,3.2750,3.2685,0.99820
0,19,0.40274,3.2750,3.2685,0.99810
0,20,0.40270,3.2750,3.2685,0.99800
0,21,0.40266,3.2751,3.2686,0.99790
0,22,0.40262,3.2751,3.2686,0.99780
0,23,0.40258,3.2751,3.2685,0.99770
0,24,0.40253,3.2751,3.2686,0.99760
0,25,0.40249,3.2751,3.2686,0.99750
0,26,0.40245,3.2750,3.2685,0.99740
0,27,0.40241,3.2750,3.2685,0.99730
0,28,0.40237,3.2751,3.2685,0.99720
0,29,0.40233,3.2751,3.2685,0.99710
0,30,0.40229,3.2751,3.2686,0.99700
0,31,0.40225,3.2751,3.2685,0.99690
0,32,0.40221,3.2751,3.2685,0.99680
0,33,0.40217,3.2751,3.2685,0.99670
0,34,0.40213,3.2750,3.2685,0.99660
0,35,0.40209,3.2750,3.2685,0.99650
0,36,0.40205,3.2751,3.2686,0.99640
0,37,0.40201,3.2751,3.2686,0.99630
0,38,0.40197,3.2751,3.2685,0.99620
0,39,0.40193,3.2751,3.2686,0.99610
0,40,0.40189,3.2751,3.2686,0.99600
0,41,0.40185,3.2751,3.2686,0.99590
0,42,0.40181,3.2751,3.2685,0.99580
0,43,0.40177,3.2751,3.2686,0.99570
0,44,0.40173,3.2751,3.2686,0.99560
0,45,0.40169,3.2751,3.2686,0.99550
0,46,0.40165,3.2751,3.2686,0.99540
0,47,0.40161,3.2751,3.2686,0.99530
0,48,0.40157,3.2751,3.2686,0.99520
0,49,0.40153,3.2751,3.2686,0.99510
0,50,0.40149,3.2751,3.2686,0.99500
0,51,0.40145,3.2751,3.2686,0.99490
0,52,0.40141,3.2751,3.2686,0.99480
0,53,0.40136,3.2751,3.2686,0.99470
0,54,0.40132,3.2751,3.2685,0.99460
0,55,0.40128,3.2751,3.2686,0.99450
0,56,0.40124,3.2751,3.2685,0.99440
0,57,0.40120,3.2751,3.2685,0.99430
0,58,0.40116,3.2751,3.2686,0.99420
